Node	X_Displacement	Y_Displacement	Z_Displacement
271	-2.51498339298e-13	-0.337330102921	0.0126948263496
272	-2.55651836506e-13	-0.338691830635	0.0127319395542
273	-2.59282585636e-13	-0.340053528547	0.0127690518275
274	-2.64087634139e-13	-0.34141522646	0.0128061650321
275	-2.67561499215e-13	-0.342776954174	0.0128432782367
276	-2.70734525293e-13	-0.344138681889	0.0128803914413
277	-2.74126533105e-13	-0.345500409603	0.0129175046459
278	-2.78083383144e-13	-0.346862107515	0.0129546169192
279	-2.79971277281e-13	-0.34822383523	0.0129917301238
280	-2.83856326031e-13	-0.349585533142	0.0130288433284
281	-2.85833206062e-13	-0.350947260857	0.013065956533
282	-2.88869514246e-13	-0.352308988571	0.0131030697376
283	-2.91596824811e-13	-0.353670686483	0.0131401820108
284	-2.92959260366e-13	-0.355032414198	0.0131772952154
285	-2.95247604577e-13	-0.356394141912	0.01321440842
286	-2.97628322812e-13	-0.357755869627	0.0132515216246
287	-3.00032351394e-13	-0.359117567539	0.0132886348292
288	-3.01829714651e-13	-0.360479265451	0.0133257471025
289	-3.04162050364e-13	-0.361840993166	0.0133628603071
290	-3.0613112414e-13	-0.363202720881	0.013399974443
291	-3.0653542313e-13	-0.364564448595	0.0134370876476
292	-3.09359932419e-13	-0.36592617631	0.0134742008522
293	-3.1095460408e-13	-0.367287874222	0.0135113131255
294	-3.12578440778e-13	-0.368649601936	0.0135484263301
295	-3.14040433198e-13	-0.370011299849	0.0135855395347
296	-3.15994029988e-13	-0.371373027563	0.0136226527393
297	-3.1735768527e-13	-0.372734755278	0.0136597659439
298	-3.19578537895e-13	-0.37409645319	0.0136968782172
299	-3.19661289626e-13	-0.375458180904	0.0137339914218
300	-3.2194391467e-13	-0.376819908619	0.0137711046264
301	-3.23221917981e-13	-0.378181636333	0.013808217831
302	-3.2426711598e-13	-0.379543364048	0.0138453319669
303	-3.26407114228e-13	-0.38090506196	0.0138824442402
304	-3.27223274518e-13	-0.382266789675	0.0139195574448
305	-3.29410842137e-13	-0.383628517389	0.0139566706493
306	-3.3044077999e-13	-0.384990215302	0.0139937838539
307	-3.32422755772e-13	-0.386351943016	0.0140308970585
308	-3.33984955577e-13	-0.387713640928	0.0140680102631
309	-3.34451054091e-13	-0.389075368643	0.0141051234677
310	-3.36421103649e-13	-0.390437096357	0.0141422366723
